"word","freq"
"진성준",1
"진솔",1
"진실",5
"진의",1
"진정",1
"진짜",2
"진출",1
"질문",3
"질병",1
"질의",2
"질타",1
"집결",2
"집권",1
"집단",1
"집단감염",1
"집단폭행",1
"집안",1
"집회",6
"징역",1
"쪽방촌",1
"찌라시",1
"차관",1
"차량시위",1
"차명진",1
"차범근",1
"찬스",1
"참가",1
"참교육",1
"참사",1
"참전",1
"창업주",1
"찾는이유",1
"찾았",1
"책략",1
"책임",3
"책임론",1
"챌린지",1
"처우",1
"천민",1
"천은",1
"천재",1
"천하",1
"철부",1
"철수",1
"철퇴",1
"첩보",1
"청년",2
"청문회",2
"청소년",1
"청와대",9
"청원",2
"청장",2
"청천벽력",1
"청탁",2
"체슬리자문",1
"체질",1
"체험",1
"초대석",1
"초등학교",1
"초상집",1
"초유",1
"초조",2
"초청",2
"촛불",1
"총격",1
"총리",2
"총선출마",1
"최강",3
"최강일",1
"최고",1
"최고조",1
"최광",1
"최다",1
"최대",3
"최선",2
"최소",1
"최악",2
"최애",1
"최우",1
"최인호",1
"최종환",1
"최첨단",1
"최초",2
"최형",1
"추가",1
"추미",1
"추미애",49
"추석",3
"추월",1
"추적",1
"축구",1
"축출",1
"출국",1
"출근",2
"출마",1
"출발",2
"출소",1
"출신",1
"출연",1
"출연료",1
"출현",1
"충격",2
"충전기",1
"취소",2
"취역",1
"취재",3
"취재열기",1
"치료",1
"치어리더",1
"치킨",1
"친구",7
"친문",1
"親文",1
"친위대",1
"친일파",1
"침묵",2
"침뱉고",1
"카리스마",1
"카불",1
"카카오",6
"카카오ᆞ네이버",1
"카톡",2
"카투사",3
"칼국수",1
"칼럼",1
"칼빼",1
"캄보디아",1
"캐비",1
"캔슬코리아",1
"커멀라",1
"컴퓨터",1
"코드",1
"코로",1
"코로나",2
"코로나19",2
"코리안",2
"코메디",1
"코스",2
"쿠데타",3
"쿨내",1
"퀄리티",1
"크게놀란",1
"크로스",1
"크리스",1
"큰소리",1
"큰일",1
"클라우드",1
"클리핑",9
"클립",1
"키우",1
"타살",1
"타워",1
"타이어",1
"타이어뱅크",1
"탈북자",1
"탈옥",1
"탈출구",1
"탐사",1
"탐사대",5
"탑승",1
"탕수육",1
"태영호",1
"태주",1
"태풍",13
"택배",1
"테러",2
"테스트",1
"테슬라",2
"텍스트",1
"텐텐",18
"텐텐뉴스_",1
"텐텐뉴스_검찰은",1
"텐텐뉴스_경제성장",1
"토론",3
"토론토",2
"토론회",1
"토사구팽",1
"토요",3
"토요일",5
"토크",7
"통신비",1
"통장",1
"통제불능",1
"통합",10
"통화",4
"퇴근",1
"퇴진",1
"투데이",2
